station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
EILF,"HNZ, HNN, HNE",11132,14200,55.66,71.0,0.9366118907928467,0.193370059132576,2.5,240.0,23500
ESCA,"HNZ, HNN, HNE",11370,13534,56.85,67.67,0.9477234482765198,0.5019435286521912,2.5,240.0,23500
ISO,"HNZ, HNN, HNE",11554,12500,57.77,62.5,0.9808401465415955,0.8713233470916748,2.5,240.0,23500
MFC,"HNZ, HNN, HNE",11298,12858,56.49,64.29,0.9827117919921875,0.24617956578731537,2.5,240.0,23500
MON,"HNZ, HNN, HNE",11164,13594,55.82,67.97,0.9246987700462341,0.21829792857170105,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",11274,13210,56.37,66.05,0.952695906162262,0.5211807489395142,2.5,240.0,23500
OGAG,"HNZ, HNN, HNE",11544,12694,57.72,63.47,0.9351975917816162,0.49305617809295654,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",11494,13192,57.47,65.96,0.8582348823547363,0.30916517972946167,2.5,240.0,23500
OGMO,"HNZ, HNN, HNE",11246,13346,56.23,66.73,0.9131308794021606,0.33049529790878296,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",11064,13484,55.32,67.42,0.9148209095001221,0.44971680641174316,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",11302,13074,56.51,65.37,0.8741726279258728,0.4110017716884613,2.5,240.0,23500
REVF,"HNZ, HN1, HN2",11272,13848,56.36,69.24,0.9568058252334595,0.10774336010217667,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",11392,13310,56.96,66.55,0.9436218738555908,0.4205547869205475,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",11432,12922,57.16,64.61,0.9720590710639954,0.37492701411247253,2.5,280.0,27500
BHB,"HNZ, HNN, HNE",3092,4250,15.46,21.25,0.9231336116790771,0.8546671271324158,2.5,83.005,7800
BRZ,"HGZ, HGN, HGE",1442,1962,7.21,9.81,0.9826216697692871,0.9165433645248413,2.5,55.005,5000
CRI,"HNZ, HNN, HNE",4336,5184,21.68,25.92,0.9479885697364807,0.889829695224762,2.5,95.005,9000
SAV,"HGZ, HGN, HGE",4314,5538,21.57,27.69,0.8561765551567078,0.7750880122184753,2.5,115.005,11000
SLZ,"HNZ, HNN, HNE",4294,5682,21.47,28.41,0.947826623916626,0.46883249282836914,2.5,100.005,9500
CAGN,"HNZ, HNN, HNE",11314,13748,56.57,68.74,0.9177941679954529,0.08341473340988159,2.5,240.0,23500
MENA,"HNZ, HNN, HNE",11306,13766,56.53,68.83,0.9572333097457886,0.4900485575199127,2.5,240.0,23500
