station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SAV,"HGZ, HGN, HGE",5280,6508,26.4,32.54,0.7431040406227112,0.4534226655960083,2.5,115.005,11000
REVF,"HNZ, HN1, HN2",12282,14434,61.41,72.17,0.8502363562583923,0.011349169537425041,2.5,240.0,23500
EILF,"HNZ, HNN, HNE",12082,14860,60.41,74.3,0.6059107780456543,0.024069732055068016,2.5,240.0,23500
MON,"HNZ, HNN, HNE",12186,1630,60.93,8.15,0.897247850894928,0.05327194556593895,2.5,240.0,23500
BHB,"HNZ, HNN, HNE",4086,5234,20.43,26.17,0.9366905689239502,0.6954648494720459,2.5,83.005,7800
OGAG,"HNZ, HNN, HNE",12554,13536,62.77,67.68,0.7945370674133301,0.22863559424877167,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",12446,13880,62.23,69.4,0.9291877150535583,0.451569139957428,2.5,280.0,27500
OGMO,"HNZ, HNN, HNE",12222,14184,61.11,70.92,0.8346855640411377,0.2790291905403137,2.5,240.0,23500
CAGN,"HNZ, HNN, HNE",12314,14620,61.57,73.1,0.6993284225463867,0.021581705659627914,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",12262,14054,61.31,70.27,0.7668300271034241,0.17083406448364258,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",12262,14018,61.31,70.09,0.5639849305152893,0.07320147752761841,2.5,240.0,23500
ISO,"HNZ, HNN, HNE",12560,13478,62.8,67.39,0.9546158909797668,0.5384014248847961,2.5,240.0,23500
BRZ,"HGZ, HGN, HGE",2446,2936,12.23,14.68,0.9695166349411011,0.8922218084335327,2.5,55.005,5000
CRI,"HNZ, HNN, HNE",5338,6154,26.69,30.77,0.9597064256668091,0.6918714046478271,2.5,95.005,9000
MFC,"HNZ, HNN, HNE",12304,13752,61.52,68.76,0.9070194363594055,0.3164687752723694,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",12380,14270,61.9,71.35,0.7090888619422913,0.18920859694480896,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",12042,14446,60.21,72.23,0.4991928040981293,0.16104644536972046,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",12470,14130,62.35,70.65,0.5962398648262024,0.41321852803230286,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",5298,6650,26.49,33.25,0.9353548884391785,0.13595035672187805,2.5,100.005,9500
MENA,"HNZ, HNN, HNE",12314,14744,61.57,73.72,0.9524549841880798,0.10631014406681061,2.5,240.0,23500
ESCA,"HNZ, HNN, HNE",12358,14400,61.79,72.0,0.835598349571228,0.5033626556396484,2.5,240.0,23500
