station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
ISO,"HNZ, HNN, HNE",12554,13496,62.77,67.48,0.9843790531158447,0.8957406878471375,2.5,240.0,23500
MENA,"HNZ, HNN, HNE",12302,14744,61.51,73.72,0.9566873908042908,0.5236629843711853,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",12290,14042,61.45,70.21,0.962326169013977,0.5514485836029053,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",12278,14138,61.39,70.69,0.9718682765960693,0.48605772852897644,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",5290,6660,26.45,33.3,0.9741925001144409,0.5085015892982483,2.5,100.005,9500
CAGN,"HNZ, HNN, HNE",12306,14648,61.53,73.24,0.9386165142059326,0.07189173996448517,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",12438,13930,62.19,69.65,0.9691183567047119,0.6022666692733765,2.5,280.0,27500
ESCA,"HNZ, HNN, HNE",12354,14446,61.77,72.23,0.9694187045097351,0.26030978560447693,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",12044,14462,60.22,72.31,0.912334144115448,0.24670317769050598,2.5,240.0,23500
MFC,"HNZ, HNN, HNE",12298,13782,61.49,68.91,0.9866446852684021,0.31381940841674805,2.5,240.0,23500
CRI,"HNZ, HNN, HNE",5334,6170,26.67,30.85,0.9743955135345459,0.8235628008842468,2.5,95.005,9000
BRZ,"HGZ, HGN, HGE",2440,2938,12.2,14.69,0.981846272945404,0.9118335843086243,2.5,55.005,5000
OGMO,"HNZ, HNN, HNE",12222,14224,61.11,71.12,0.9511183500289917,0.28073543310165405,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",12462,14160,62.31,70.8,0.8152462244033813,0.44009244441986084,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",12388,14282,61.94,71.41,0.9373769760131836,0.2514975070953369,2.5,240.0,23500
REVF,"HNZ, HN1, HN2",12274,14736,61.37,73.68,0.9732926487922668,0.1205630823969841,2.5,240.0,23500
SAV,"HGZ, HGN, HGE",5292,6502,26.46,32.510000000000005,0.9018805027008057,0.7966175079345703,2.5,115.005,11000
OGAG,"HNZ, HNN, HNE",12546,13556,62.73,67.78,0.9755516052246094,0.5063855051994324,2.5,240.0,23500
BHB,"HNZ, HNN, HNE",4088,5236,20.44,26.18,0.9146183729171753,0.8299118280410767,2.5,83.005,7800
MON,"HNZ, HNN, HNE",12174,14544,60.87,72.72,0.9607438445091248,0.19593405723571777,2.5,240.0,23500
EILF,"HNZ, HNN, HNE",12106,1332,60.53,6.66,0.8989061117172241,0.04792962968349457,2.5,240.0,23500
