station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SAV,"HGZ, HGN, HGE",4280,5508,21.4,27.54,0.7431040406227112,0.4534226655960083,2.5,115.005,11000
BHB,"HNZ, HNN, HNE",3086,4234,15.43,21.17,0.9366905689239502,0.6954648494720459,2.5,83.005,7800
OGAG,"HNZ, HNN, HNE",11554,12536,57.77,62.68,0.7945370674133301,0.22863559424877167,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",11446,12880,57.23,64.4,0.9291877150535583,0.451569139957428,2.5,280.0,27500
OGMO,"HNZ, HNN, HNE",11222,13184,56.11,65.92,0.8346855640411377,0.2790291905403137,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",11262,13054,56.31,65.27,0.7668300271034241,0.17083406448364258,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",11262,13018,56.31,65.09,0.5639849305152893,0.07320147752761841,2.5,240.0,23500
ISO,"HNZ, HNN, HNE",11560,12478,57.8,62.39,0.9546158909797668,0.5384014248847961,2.5,240.0,23500
BRZ,"HGZ, HGN, HGE",1446,1936,7.23,9.68,0.9695166349411011,0.8922218084335327,2.5,55.005,5000
CRI,"HNZ, HNN, HNE",4338,5154,21.69,25.77,0.9597064256668091,0.6918714046478271,2.5,95.005,9000
MFC,"HNZ, HNN, HNE",11304,12752,56.52,63.76,0.9070194363594055,0.3164687752723694,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",11380,13270,56.9,66.35,0.7090888619422913,0.18920859694480896,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",11042,13446,55.21,67.23,0.4991928040981293,0.16104644536972046,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",11470,13130,57.35,65.65,0.5962398648262024,0.41321852803230286,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",4298,5650,21.49,28.25,0.9353548884391785,0.13595035672187805,2.5,100.005,9500
MENA,"HNZ, HNN, HNE",11314,13744,56.57,68.72,0.9524549841880798,0.10631014406681061,2.5,240.0,23500
ESCA,"HNZ, HNN, HNE",11358,13400,56.79,67.0,0.835598349571228,0.5033626556396484,2.5,240.0,23500
