station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
ISO,"HNZ, HNN, HNE",11554,12496,57.77,62.48,0.9843790531158447,0.8957406878471375,2.5,240.0,23500
MENA,"HNZ, HNN, HNE",11302,13744,56.51,68.72,0.9566873908042908,0.5236629843711853,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",11290,13042,56.45,65.21,0.962326169013977,0.5514485836029053,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",11278,13138,56.39,65.69,0.9718682765960693,0.48605772852897644,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",4290,5660,21.45,28.3,0.9741925001144409,0.5085015892982483,2.5,100.005,9500
CAGN,"HNZ, HNN, HNE",11306,13648,56.53,68.24,0.9386165142059326,0.07189173996448517,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",11438,12930,57.19,64.65,0.9691183567047119,0.6022666692733765,2.5,280.0,27500
ESCA,"HNZ, HNN, HNE",11354,13446,56.77,67.23,0.9694187045097351,0.26030978560447693,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",11044,13462,55.22,67.31,0.912334144115448,0.24670317769050598,2.5,240.0,23500
MFC,"HNZ, HNN, HNE",11298,12782,56.49,63.91,0.9866446852684021,0.31381940841674805,2.5,240.0,23500
CRI,"HNZ, HNN, HNE",4334,5170,21.67,25.85,0.9743955135345459,0.8235628008842468,2.5,95.005,9000
BRZ,"HGZ, HGN, HGE",1440,1938,7.2,9.69,0.981846272945404,0.9118335843086243,2.5,55.005,5000
OGMO,"HNZ, HNN, HNE",11222,13224,56.11,66.12,0.9511183500289917,0.28073543310165405,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",11462,13160,57.31,65.8,0.8152462244033813,0.44009244441986084,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",11388,13282,56.94,66.41,0.9373769760131836,0.2514975070953369,2.5,240.0,23500
REVF,"HNZ, HN1, HN2",11274,13736,56.37,68.68,0.9732926487922668,0.1205630823969841,2.5,240.0,23500
SAV,"HGZ, HGN, HGE",4292,5502,21.46,27.51,0.9018805027008057,0.7966175079345703,2.5,115.005,11000
OGAG,"HNZ, HNN, HNE",11546,12556,57.73,62.78,0.9755516052246094,0.5063855051994324,2.5,240.0,23500
BHB,"HNZ, HNN, HNE",3088,4236,15.44,21.18,0.9146183729171753,0.8299118280410767,2.5,83.005,7800
MON,"HNZ, HNN, HNE",11174,13544,55.87,67.72,0.9607438445091248,0.19593405723571777,2.5,240.0,23500
