station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SAV,"HGZ, HGN, HGE",4280,5508,21.4,27.54,0.7251107692718506,0.48677417635917664,2.5,115.005,11000
BHB,"HNZ, HNN, HNE",3086,4228,15.43,21.14,0.9313291907310486,0.7071151733398438,2.5,83.005,7800
OGAG,"HNZ, HNN, HNE",11552,12542,57.76,62.71,0.7473662495613098,0.21661168336868286,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",11444,12876,57.22,64.38,0.907098114490509,0.42300334572792053,2.5,280.0,27500
OGMO,"HNZ, HNN, HNE",11218,13184,56.09,65.92,0.7545983791351318,0.1520860344171524,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",11254,13046,56.27,65.23,0.7161642909049988,0.1585613340139389,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",11268,13042,56.34,65.21,0.4549069404602051,0.12390187382698059,2.5,240.0,23500
ISO,"HNZ, HNN, HNE",11560,12474,57.8,62.37,0.9103888869285583,0.505914568901062,2.5,240.0,23500
BRZ,"HGZ, HGN, HGE",1448,1930,7.24,9.65,0.9648635983467102,0.8762940764427185,2.5,55.005,5000
CRI,"HNZ, HNN, HNE",4340,5156,21.7,25.78,0.9653609395027161,0.739078164100647,2.5,95.005,9000
MFC,"HNZ, HNN, HNE",11306,12746,56.53,63.73,0.9267011284828186,0.1629229038953781,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",11374,13270,56.87,66.35,0.8432608246803284,0.35835424065589905,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",11036,13440,55.18,67.2,0.5311815142631531,0.12950517237186432,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",11468,13130,57.34,65.65,0.5250024795532227,0.31820812821388245,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",4298,5646,21.49,28.23,0.9444783329963684,0.3291179835796356,2.5,100.005,9500
MENA,"HNZ, HNN, HNE",11312,13718,56.56,68.59,0.9522101879119873,0.22382694482803345,2.5,240.0,23500
ESCA,"HNZ, HNN, HNE",11354,13420,56.77,67.1,0.8158579468727112,0.5406185984611511,2.5,240.0,23500
