station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,original_duration_s
EILF,"HNZ, HNN, HNE",12132.0,15200.0,60.66,76.0,0.9366118907928467,0.193370059132576,240.0
ESCA,"HNZ, HNN, HNE",12370.0,14534.0,61.85,72.67,0.9477234482765198,0.5019435286521912,240.0
ISO,"HNZ, HNN, HNE",12554.0,13500.0,62.77,67.5,0.9808401465415955,0.8713233470916748,240.0
MFC,"HNZ, HNN, HNE",12298.0,13858.0,61.49,69.29,0.9827117919921875,0.24617956578731537,240.0
MON,"HNZ, HNN, HNE",12164.0,14594.0,60.82,72.97,0.9246987700462341,0.21829792857170105,240.0
MVIF,"HNZ, HNN, HNE",12274.0,14210.0,61.37,71.05,0.952695906162262,0.5211807489395142,240.0
OGAG,"HNZ, HNN, HNE",12544.0,13694.0,62.72,68.47,0.9351975917816162,0.49305617809295654,240.0
OGDI,"HNZ, HNN, HNE",12494.0,14192.0,62.47,70.96,0.8582348823547363,0.30916517972946167,240.0
OGMO,"HNZ, HNN, HNE",12246.0,14346.0,61.23,71.73,0.9131308794021606,0.33049529790878296,240.0
OGS3,"HNZ, HNN, HNE",12064.0,14484.0,60.32,72.42,0.9148209095001221,0.44971680641174316,240.0
OGSA,"HNZ, HNN, HNE",12302.0,14074.0,61.51,70.37,0.8741726279258728,0.4110017716884613,240.0
REVF,"HNZ, HN1, HN2",12272.0,14848.0,61.36,74.24,0.9568058252334595,0.10774336010217667,240.0
SAOF,"HNZ, HNN, HNE",12392.0,14310.0,61.96,71.55,0.9436218738555908,0.4205547869205475,240.0
SPIF,"HNZ, HNN, HNE",12432.0,13922.0,62.16,69.61,0.9720590710639954,0.37492701411247253,280.0
BHB,"HNZ, HNN, HNE",4092.0,5250.0,20.46,26.25,0.9231336116790771,0.8546671271324158,83.005
BRZ,"HGZ, HGN, HGE",2442.0,2962.0,12.21,14.81,0.9826216697692871,0.9165433645248413,55.005
CRI,"HNZ, HNN, HNE",5336.0,6184.0,26.68,30.92,0.9479885697364807,0.889829695224762,95.005
SAV,"HGZ, HGN, HGE",5314.0,6538.0,26.57,32.69,0.8561765551567078,0.7750880122184753,115.005
SLZ,"HNZ, HNN, HNE",5294.0,6682.0,26.47,33.41,0.947826623916626,0.46883249282836914,100.005
CAGN,"HNZ, HNN, HNE",12314.0,14748.0,61.57,73.74,0.9177941679954529,0.08341473340988159,240.0
MENA,"HNZ, HNN, HNE",12306.0,14766.0,61.53,73.83,0.9572333097457886,0.4900485575199127,240.0
