station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,original_duration_s
ISO,"HNZ, HNN, HNE",12554.0,13496.0,62.77,67.48,0.9821444153785706,0.8660345077514648,240.0
MENA,"HNZ, HNN, HNE",12306.0,14742.0,61.53,73.71,0.9741588234901428,0.5016924738883972,240.0
OGSA,"HNZ, HNN, HNE",12286.0,14042.0,61.43,70.21,0.9536877870559692,0.5432087779045105,240.0
MVIF,"HNZ, HNN, HNE",12276.0,14136.0,61.38,70.68,0.9696172475814819,0.36061522364616394,240.0
SLZ,"HNZ, HNN, HNE",5290.0,6656.0,26.45,33.28,0.9737706780433655,0.4899088442325592,100.005
CAGN,"HNZ, HNN, HNE",12308.0,14666.0,61.54,73.33,0.9598050713539124,0.07178115099668503,240.0
SPIF,"HNZ, HNN, HNE",12438.0,13928.0,62.19,69.64,0.9754838347434998,0.5549970269203186,280.0
ESCA,"HNZ, HNN, HNE",12352.0,14470.0,61.76,72.35,0.9504444003105164,0.3323320746421814,240.0
OGS3,"HNZ, HNN, HNE",12046.0,14466.0,60.23,72.33,0.9199835658073425,0.33717700839042664,240.0
MFC,"HNZ, HNN, HNE",12298.0,13774.0,61.49,68.87,0.9866558313369751,0.28416475653648376,240.0
CRI,"HNZ, HNN, HNE",5334.0,6174.0,26.67,30.87,0.9749114513397217,0.8364113569259644,95.005
BRZ,"HGZ, HGN, HGE",2444.0,2936.0,12.22,14.68,0.982404887676239,0.9143701791763306,55.005
OGMO,"HNZ, HNN, HNE",12218.0,14222.0,61.09,71.11,0.93671715259552,0.2563963234424591,240.0
OGDI,"HNZ, HNN, HNE",12460.0,14168.0,62.3,70.84,0.7504937052726746,0.3736518621444702,240.0
SAOF,"HNZ, HNN, HNE",12384.0,14286.0,61.92,71.43,0.9227749705314636,0.40369129180908203,240.0
REVF,"HNZ, HN1, HN2",12276.0,14714.0,61.38,73.57,0.9745751619338989,0.08546148985624313,240.0
SAV,"HGZ, HGN, HGE",5296.0,6508.0,26.48,32.54,0.9135375022888184,0.7962333559989929,115.005
OGAG,"HNZ, HNN, HNE",12546.0,13560.0,62.73,67.8,0.972627580165863,0.4374661445617676,240.0
BHB,"HNZ, HNN, HNE",4086.0,5238.0,20.43,26.19,0.9304076433181763,0.834976851940155,83.005
MON,"HNZ, HNN, HNE",12174.0,14570.0,60.87,72.85,0.9557072520256042,0.12286067754030228,240.0
EILF,"HNZ, HNN, HNE",12104.0,14908.0,60.52,74.54,0.9056036472320557,0.05945248901844025,240.0
