station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
ISO,"HNZ, HNN, HNE",11554,12496,57.77,62.48,0.9821444153785706,0.8660345077514648,2.5,240.0,23500
MENA,"HNZ, HNN, HNE",11306,13742,56.53,68.71,0.9741588234901428,0.5016924738883972,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",11286,13042,56.43,65.21,0.9536877870559692,0.5432087779045105,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",11276,13136,56.38,65.68,0.9696172475814819,0.36061522364616394,2.5,240.0,23500
SLZ,"HNZ, HNN, HNE",4290,5656,21.45,28.28,0.9737706780433655,0.4899088442325592,2.5,100.005,9500
CAGN,"HNZ, HNN, HNE",11308,13666,56.54,68.33,0.9598050713539124,0.07178115099668503,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",11438,12928,57.19,64.64,0.9754838347434998,0.5549970269203186,2.5,280.0,27500
ESCA,"HNZ, HNN, HNE",11352,13470,56.76,67.35,0.9504444003105164,0.3323320746421814,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",11046,13466,55.23,67.33,0.9199835658073425,0.33717700839042664,2.5,240.0,23500
MFC,"HNZ, HNN, HNE",11298,12774,56.49,63.87,0.9866558313369751,0.28416475653648376,2.5,240.0,23500
CRI,"HNZ, HNN, HNE",4334,5174,21.67,25.87,0.9749114513397217,0.8364113569259644,2.5,95.005,9000
BRZ,"HGZ, HGN, HGE",1444,1936,7.22,9.68,0.982404887676239,0.9143701791763306,2.5,55.005,5000
OGMO,"HNZ, HNN, HNE",11218,13222,56.09,66.11,0.93671715259552,0.2563963234424591,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",11460,13168,57.3,65.84,0.7504937052726746,0.3736518621444702,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",11384,13286,56.92,66.43,0.9227749705314636,0.40369129180908203,2.5,240.0,23500
REVF,"HNZ, HN1, HN2",11276,13714,56.38,68.57,0.9745751619338989,0.08546148985624313,2.5,240.0,23500
SAV,"HGZ, HGN, HGE",4296,5508,21.48,27.54,0.9135375022888184,0.7962333559989929,2.5,115.005,11000
OGAG,"HNZ, HNN, HNE",11546,12560,57.73,62.8,0.972627580165863,0.4374661445617676,2.5,240.0,23500
BHB,"HNZ, HNN, HNE",3086,4238,15.43,21.19,0.9304076433181763,0.834976851940155,2.5,83.005,7800
MON,"HNZ, HNN, HNE",11174,13570,55.87,67.85,0.9557072520256042,0.12286067754030228,2.5,240.0,23500
