station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
EILF,"HNZ, HNN, HNE",12128,15200,60.64,76.0,0.9285948276519775,0.09501079469919205,2.5,240.0,23500
ESCA,"HNZ, HNN, HNE",12372,14530,61.86,72.65,0.9620791673660278,0.44700372219085693,2.5,240.0,23500
ISO,"HNZ, HNN, HNE",12554,13498,62.77,67.49,0.9824368357658386,0.8859544992446899,2.5,240.0,23500
MFC,"HNZ, HNN, HNE",12294,13852,61.47,69.26,0.9845147132873535,0.2420548051595688,2.5,240.0,23500
MON,"HNZ, HNN, HNE",12162,14592,60.81,72.96,0.9343886971473694,0.18899329006671906,2.5,240.0,23500
MVIF,"HNZ, HNN, HNE",12274,14200,61.37,71.0,0.9553999304771423,0.5442651510238647,2.5,240.0,23500
OGAG,"HNZ, HNN, HNE",12546,13698,62.73,68.49,0.9395121335983276,0.48032039403915405,2.5,240.0,23500
OGDI,"HNZ, HNN, HNE",12494,14190,62.47,70.95,0.8672775626182556,0.23882392048835754,2.5,240.0,23500
OGMO,"HNZ, HNN, HNE",12252,14330,61.26,71.65,0.928213894367218,0.3100142776966095,2.5,240.0,23500
OGS3,"HNZ, HNN, HNE",12066,14482,60.33,72.41,0.932654619216919,0.38036394119262695,2.5,240.0,23500
OGSA,"HNZ, HNN, HNE",12300,14096,61.5,70.48,0.89162278175354,0.3478899598121643,2.5,240.0,23500
REVF,"HNZ, HN1, HN2",12270,14848,61.35,74.24,0.9564275741577148,0.07877086102962494,2.5,240.0,23500
SAOF,"HNZ, HNN, HNE",12394,14306,61.97,71.53,0.9374881982803345,0.3230709731578827,2.5,240.0,23500
SPIF,"HNZ, HNN, HNE",12434,13914,62.17,69.57,0.9716275930404663,0.37067681550979614,2.5,280.0,27500
BHB,"HNZ, HNN, HNE",4094,5250,20.47,26.25,0.9192384481430054,0.8471803069114685,2.5,83.005,7800
BRZ,"HGZ, HGN, HGE",2444,2962,12.22,14.81,0.9824624061584473,0.9208744168281555,2.5,55.005,5000
CRI,"HNZ, HNN, HNE",5334,6180,26.67,30.9,0.9529147148132324,0.8826401233673096,2.5,95.005,9000
SAV,"HGZ, HGN, HGE",5308,6540,26.54,32.7,0.8788021802902222,0.7838377952575684,2.5,115.005,11000
SLZ,"HNZ, HNN, HNE",5294,6704,26.47,33.519999999999996,0.9453798532485962,0.4573718309402466,2.5,100.005,9500
CAGN,"HNZ, HNN, HNE",12308,14714,61.54,73.57,0.917913019657135,0.07074198126792908,2.5,240.0,23500
MENA,"HNZ, HNN, HNE",12302,14762,61.51,73.81,0.9432265758514404,0.4175559878349304,2.5,240.0,23500
