station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SANL,"HNZ, HNN, HNE",2362,5088,11.81,25.44,0.650780439376831,0.003356462111696601,2.5,299.99,29499
ANT,"HNZ, HNN, HNE",4894,5930,24.47,29.65,0.8447752594947815,0.4376031458377838,2.5,120.0,11500
AQA,"HNZ, HNN, HNE",2234,2572,11.17,12.86,0.4526348114013672,0.5638716816902161,2.5,40.0,3500
AQG,"HNZ, HNN, HNE",5122,5548,25.61,27.74,0.5170508027076721,0.25468194484710693,2.5,100.0,9500
AQK,"HNZ, HNN, HNE",5082,5432,25.41,27.16,0.7822756767272949,0.43412554264068604,2.5,100.0,9500
AQV,"HNZ, HNN, HNE",5118,5608,25.59,28.04,0.43972063064575195,0.31606489419937134,2.5,100.005,9500
ASS,"HNZ, HNN, HNE",3874,6948,19.37,34.74,0.4623800218105316,0.030972575768828392,2.5,100.0,9500
AVL,"HNZ, HNN, HNE",-500,1806,-2.5,9.03,0.0004333311226218939,0.001299170427955687,2.5,74.0,6899
AVZ,"HNZ, HNN, HNE",4876,6132,24.38,30.66,0.3614344298839569,0.1700935810804367,2.5,120.0,11500
BBN,"HNZ, HNN, HNE",-486,1928,-2.43,9.64,6.587149255210534e-05,0.0047117723152041435,2.5,62.0,5700
BDT,"HNZ, HNN, HNE",1716,3118,8.58,15.59,0.4544864594936371,0.0058835833333432674,2.5,100.0,9500
BNE,"HNZ, HNN, HNE",-500,1862,-2.5,9.31,0.004792935214936733,0.006891248747706413,2.5,80.0,7499
BOJ,"HNZ, HNN, HNE",3636,4902,18.18,24.51,0.45769843459129333,0.007923351600766182,2.5,150.0,14500
CAN,"HNZ, HNN, HNE",-500,4324,-2.5,21.62,0.053029678761959076,0.003825476625934243,2.5,95.0,9000
CDS,"HNZ, HNN, HNE",4186,7156,20.93,35.78,0.7749084830284119,0.03155176341533661,2.5,120.0,11500
CER,"HNZ, HNN, HNE",-500,4022,-2.5,20.11,0.07899399846792221,0.01861059106886387,2.5,115.0,11000
CHT,"HNZ, HNN, HNE",6552,8724,32.76,43.62,0.758021354675293,0.10395511984825134,2.5,100.0,9500
CLN,"HNZ, HNN, HNE",5032,6334,25.16,31.67,0.37261655926704407,0.3457132577896118,2.5,90.0,8500
CMB,"HNZ, HNN, HNE",48,836,0.24,4.18,0.5420751571655273,0.027201905846595764,2.5,120.0,11500
CMR,"HNZ, HNN, HNE",2744,6804,13.72,34.02,0.6102718710899353,0.019140813499689102,2.5,100.0,9500
CNM,"HNZ, HNN, HNE",-180,4908,-0.9,24.54,0.37566184997558594,0.003870428306981921,2.5,120.0,11500
CSO1,"HNZ, HNN, HNE",5916,7252,29.58,36.26,0.6862156987190247,0.10111533850431442,2.5,99.8,9480
CSS,"HNZ, HNN, HNE",3904,7206,19.52,36.03,0.7128015756607056,0.041651949286460876,2.5,100.0,9500
CTL,"HNZ, HNN, HNE",2288,8746,11.44,43.73,0.5923667550086975,0.01461568009108305,2.5,120.0,11500
FMG,"HNZ, HNN, HNE",5010,5952,25.05,29.76,0.9057072997093201,0.3570690155029297,2.5,119.0,11400
FOR,"HNZ, HNN, HNE",-500,1356,-2.5,6.78,0.1187935620546341,0.03388821333646774,2.5,115.0,11000
GNL,"HNZ, HNN, HNE",-500,3310,-2.5,16.55,0.0002721147029660642,0.01288982480764389,2.5,62.0,5700
