station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,original_duration_s
SANL,"HNZ, HNN, HNE",3362,6088,16.81,30.44,0.650780439376831,0.003356462111696601,299.99
ANT,"HNZ, HNN, HNE",5894,6930,29.47,34.65,0.8447752594947815,0.4376031458377838,120.0
AQA,"HNZ, HNN, HNE",3234,3572,16.17,17.86,0.4526348114013672,0.5638716816902161,40.0
AQG,"HNZ, HNN, HNE",6122,6548,30.61,32.74,0.5170508027076721,0.25468194484710693,100.0
AQK,"HNZ, HNN, HNE",6082,6432,30.41,32.16,0.7822756767272949,0.43412554264068604,100.0
AQV,"HNZ, HNN, HNE",6118,6608,30.59,33.04,0.43972063064575195,0.31606489419937134,100.005
ASS,"HNZ, HNN, HNE",4874,7948,24.37,39.74,0.4623800218105316,0.030972575768828392,100.0
AVL,"HNZ, HNN, HNE",500,2806,2.5,14.03,0.0004333311226218939,0.001299170427955687,74.0
AVZ,"HNZ, HNN, HNE",5876,7132,29.38,35.66,0.3614344298839569,0.1700935810804367,120.0
BBN,"HNZ, HNN, HNE",514,2928,2.57,14.64,6.587149255210534e-05,0.0047117723152041435,62.0
BDT,"HNZ, HNN, HNE",2716,4118,13.58,20.59,0.4544864594936371,0.0058835833333432674,100.0
BNE,"HNZ, HNN, HNE",500,2862,2.5,14.31,0.004792935214936733,0.006891248747706413,80.0
BOJ,"HNZ, HNN, HNE",4636,5902,23.18,29.51,0.45769843459129333,0.007923351600766182,150.0
CAN,"HNZ, HNN, HNE",500,5324,2.5,26.62,0.053029678761959076,0.003825476625934243,95.0
CDS,"HNZ, HNN, HNE",5186,8156,25.93,40.78,0.7749084830284119,0.03155176341533661,120.0
CER,"HNZ, HNN, HNE",500,5022,2.5,25.11,0.07899399846792221,0.01861059106886387,115.0
CHT,"HNZ, HNN, HNE",7552,9724,37.76,48.62,0.758021354675293,0.10395511984825134,100.0
CLN,"HNZ, HNN, HNE",6032,7334,30.16,36.67,0.37261655926704407,0.3457132577896118,90.0
CMB,"HNZ, HNN, HNE",1048,1836,5.24,9.18,0.5420751571655273,0.027201905846595764,120.0
CMR,"HNZ, HNN, HNE",3744,7804,18.72,39.02,0.6102718710899353,0.019140813499689102,100.0
CNM,"HNZ, HNN, HNE",820,5908,4.1,29.54,0.37566184997558594,0.003870428306981921,120.0
CSO1,"HNZ, HNN, HNE",6916,8252,34.58,41.26,0.6862156987190247,0.10111533850431442,99.8
CSS,"HNZ, HNN, HNE",4904,8206,24.52,41.03,0.7128015756607056,0.041651949286460876,100.0
CTL,"HNZ, HNN, HNE",3288,9746,16.44,48.73,0.5923667550086975,0.01461568009108305,120.0
FMG,"HNZ, HNN, HNE",6010,6952,30.05,34.76,0.9057072997093201,0.3570690155029297,119.0
FOR,"HNZ, HNN, HNE",500,2356,2.5,11.78,0.1187935620546341,0.03388821333646774,115.0
GNL,"HNZ, HNN, HNE",500,4310,2.5,21.55,0.0002721147029660642,0.01288982480764389,62.0
GSA,"HNZ, HNN, HNE",2964,3638,14.82,18.19,0.5963729619979858,0.4980199933052063,100.1
ISR,"HNZ, HNN, HNE",4526,7748,22.63,38.74,0.8508484363555908,0.11631722748279572,120.0
LSS,"HNZ, HNN, HNE",5544,6946,27.72,34.73,0.3915207087993622,0.2542717754840851,105.0
MMP,"HNZ, HNN, HNE",2530,4004,12.65,20.02,0.6318344473838806,0.01787145622074604,101.9
MNG,"HNZ, HNN, HNE",1444,2856,7.22,14.28,0.000735338544473052,0.053593363612890244,62.0
MNN,"HNZ, HNN, HNE",532,6228,2.66,31.14,0.7006464600563049,0.06887541711330414,85.0
MTR,"HNZ, HNN, HNE",2810,3732,14.05,18.66,0.6298744678497314,0.22395069897174835,100.0
NAP,"HNZ, HNN, HNE",500,1530,2.5,7.65,0.01588679477572441,0.002373697003349662,95.0
ORC,"HNZ, HNN, HNE",2984,4724,14.92,23.62,0.7400894165039062,0.24649663269519806,71.0
PDM,"HNZ, HNN, HNE",500,2512,2.5,12.56,2.269062679260969e-05,0.01075038593262434,57.0
PTF,"HNZ, HNN, HNE",1638,3054,8.19,15.27,0.6425445079803467,0.01684916391968727,120.0
RIC,"HNZ, HNN, HNE",500,2068,2.5,10.34,0.11412610113620758,0.008850226178765297,95.0
SBC,"HNZ, HNN, HNE",2112,3716,10.56,18.58,0.6979163885116577,0.053374022245407104,74.0
SCM,"HNZ, HNN, HNE",500,1846,2.5,9.23,0.0009606805397197604,0.02653886377811432,75.0
SCP,"HNZ, HNN, HNE",852,5346,4.26,26.73,0.30481401085853577,0.021882321685552597,120.0
SDG,"HNZ, HNN, HNE",1814,2448,9.07,12.24,0.0006618520710617304,0.052864767611026764,54.0
SNS,"HNZ, HNN, HNE",500,2418,2.5,12.09,0.4403429925441742,0.014684805646538734,100.0
SPC,"HNZ, HNN, HNE",2758,4784,13.79,23.92,0.5203537940979004,0.049503978341817856,100.0
SPO,"HNZ, HNN, HNE",2316,4392,11.58,21.96,0.3768403232097626,0.04095008224248886,101.0
SSR,"HNZ, HNN, HNE",664,5474,3.32,27.37,0.4768405854701996,0.02704312466084957,117.0
STL,"HNZ, HNN, HNE",562,1950,2.81,9.75,4.322186214267276e-05,0.000674464157782495,47.0
STN,"HNZ, HNN, HNE",502,592,2.51,2.96,0.010745849460363388,0.011745721101760864,75.0
SUL,"HNZ, HNN, HNE",3004,4644,15.02,23.22,0.6257772445678711,0.4775741398334503,104.0
TLS,"HNZ, HNN, HNE",1916,2168,9.58,10.84,7.059445124468766e-06,0.007725146599113941,60.0
TMO,"HNZ, HNN, HNE",2236,6534,11.18,32.67,0.3164350390434265,0.07211025059223175,120.0
VIE,"HNZ, HNN, HNE",500,2852,2.5,14.26,0.00030460976995527744,0.030778057873249054,62.0
VRP,"HNZ, HNN, HNE",506,1986,2.53,9.93,0.02897096425294876,0.011448384262621403,86.0
CDCA,"HNZ, HNN, HNE",1534,2672,7.67,13.36,0.4595785140991211,0.004083852283656597,140.005
SENI,"HNZ, HNN, HNE",1420,6276,7.1,31.38,0.48251089453697205,0.007879230193793774,140.005
AQU,"HLZ, HLN, HLE",3336,3690,16.68,18.45,0.5181547999382019,0.7077298164367676,90.0
BOJS,"HGZ, HGN, HGE",3004,4292,15.02,21.46,0.3842323422431946,0.008700164966285229,242.255
LJU,"HGZ, HGN, HGE",2302,11768,11.51,58.84,0.6849209070205688,0.007430349010974169,249.485
