station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SANL,"HNZ, HNN, HNE",2462,7924,12.31,39.62,0.04690227657556534,0.003190078539773822,2.5,299.99,29499
ANT,"HNZ, HNN, HNE",5030,5854,25.15,29.27,0.3404906094074249,0.1435842365026474,2.5,120.0,11500
AQA,"HNZ, HNN, HNE",2196,2518,10.98,12.59,0.4700988531112671,0.23884664475917816,2.5,40.0,3500
AQG,"HNZ, HNN, HNE",5208,5532,26.04,27.66,0.4890490770339966,0.1252475380897522,2.5,100.0,9500
AQK,"HNZ, HNN, HNE",5174,5404,25.87,27.02,0.6446097493171692,0.06214863061904907,2.5,100.0,9500
AQV,"HNZ, HNN, HNE",5204,5530,26.02,27.65,0.5540834665298462,0.1630898118019104,2.5,100.005,9500
ASS,"HNZ, HNN, HNE",3798,7116,18.99,35.58,0.22476090490818024,0.002667409600690007,2.5,100.0,9500
AVL,"HNZ, HNN, HNE",4586,4596,22.93,22.98,0.01478861179202795,0.0034922997001558542,2.5,74.0,6899
AVZ,"HNZ, HNN, HNE",5962,6384,29.81,31.92,0.15031054615974426,0.10780351608991623,2.5,120.0,11500
BBN,"HNZ, HNN, HNE",4902,4988,24.51,24.94,0.004081284627318382,0.004746854770928621,2.5,62.0,5700
BDT,"HNZ, HNN, HNE",2452,3376,12.26,16.88,0.20378455519676208,0.02882014587521553,2.5,100.0,9500
BOJ,"HNZ, HNN, HNE",4432,4922,22.16,24.61,0.09167137742042542,0.011290553025901318,2.5,150.0,14500
CER,"HNZ, HNN, HNE",-398,664,-1.99,3.32,0.01989889331161976,0.006664365995675325,2.5,115.0,11000
CHT,"HNZ, HNN, HNE",6078,7428,30.39,37.14,0.0562959648668766,0.005291098728775978,2.5,100.0,9500
CLN,"HNZ, HNN, HNE",6030,6320,30.15,31.6,0.1427401602268219,0.1660308688879013,2.5,90.0,8500
CMR,"HNZ, HNN, HNE",2924,4048,14.62,20.24,0.029849955812096596,0.007409182842820883,2.5,100.0,9500
CNM,"HNZ, HNN, HNE",5292,6630,26.46,33.15,0.010052910074591637,0.00037929005338810384,2.5,120.0,11500
CSO1,"HNZ, HNN, HNE",7068,7846,35.34,39.23,0.3297392427921295,0.007568271830677986,2.5,99.8,9480
CSS,"HNZ, HNN, HNE",3636,5248,18.18,26.24,0.15518884360790253,0.036852769553661346,2.5,100.0,9500
CTL,"HNZ, HNN, HNE",2436,3696,12.18,18.48,0.17025339603424072,0.012816847302019596,2.5,120.0,11500
FMG,"HNZ, HNN, HNE",5142,5906,25.71,29.53,0.2995282709598541,0.007158782798796892,2.5,119.0,11400
FOR,"HNZ, HNN, HNE",-328,-306,-1.64,-1.53,0.21835200488567352,0.07000692188739777,2.5,115.0,11000
GNL,"HNZ, HNN, HNE",-430,-328,-2.15,-1.64,0.00569867342710495,0.005374085158109665,2.5,62.0,5700
GSA,"HNZ, HNN, HNE",2058,2592,10.29,12.96,0.515324056148529,0.10966622829437256,2.5,100.1,9510
ISR,"HNZ, HNN, HNE",3554,3858,17.77,19.29,0.10691230744123459,0.04540460184216499,2.5,120.0,11500
LSS,"HNZ, HNN, HNE",4710,6042,23.55,30.21,0.28336814045906067,0.02565152570605278,2.5,105.0,10000
MMP,"HNZ, HNN, HNE",2202,3418,11.01,17.09,0.228096142411232,0.009337636642158031,2.5,101.9,9690
MNG,"HNZ, HNN, HNE",1684,1952,8.42,9.76,0.007961384020745754,0.007124976254999638,2.5,62.0,5700
MNN,"HNZ, HNN, HNE",-268,5834,-1.34,29.17,0.0957440584897995,0.017608143389225006,2.5,85.0,8000
MTR,"HNZ, HNN, HNE",1966,2620,9.83,13.1,0.673455536365509,0.25133374333381653,2.5,100.0,9500
ORC,"HNZ, HNN, HNE",3654,3732,18.27,18.66,0.12404754757881165,0.1726440042257309,2.5,71.0,6599
PDM,"HNZ, HNN, HNE",1460,2168,7.3,10.84,0.0008208560757339001,6.725082494085655e-05,2.5,57.0,5200
PTF,"HNZ, HNN, HNE",2032,5730,10.16,28.65,0.03292771056294441,0.006813672836869955,2.5,120.0,11500
RIC,"HNZ, HNN, HNE",1496,2176,7.48,10.88,0.014673488214612007,0.0014261731412261724,2.5,95.0,9000
SBC,"HNZ, HNN, HNE",2632,3058,13.16,15.29,0.10484069585800171,0.0010905570816248655,2.5,74.0,6899
SCM,"HNZ, HNN, HNE",874,1278,4.37,6.39,0.005636873189359903,0.0022026305086910725,2.5,75.0,6999
SDG,"HNZ, HNN, HNE",1240,2624,6.2,13.12,0.026189904659986496,0.0011124013690277934,2.5,54.0,4900
SNS,"HNZ, HNN, HNE",-476,264,-2.38,1.32,0.3689693510532379,0.005862419959157705,2.5,100.0,9500
SPC,"HNZ, HNN, HNE",2028,4816,10.14,24.08,0.14889217913150787,0.011830545030534267,2.5,100.0,9500
SPO,"HNZ, HNN, HNE",1630,4298,8.15,21.49,0.18637533485889435,0.02789161540567875,2.5,101.0,9600
SSR,"HNZ, HNN, HNE",32,146,0.16,0.73,0.13827107846736908,0.01073484681546688,2.5,117.0,11200
STN,"HNZ, HNN, HNE",-488,-416,-2.44,-2.08,0.0013341631274670362,0.0006500412127934396,2.5,75.0,6999
SUL,"HNZ, HNN, HNE",2092,3712,10.46,18.56,0.10223932564258575,0.12293751537799835,2.5,104.0,9900
TLS,"HNZ, HNN, HNE",1332,2312,6.66,11.56,0.0007493045413866639,0.001190673909150064,2.5,60.0,5500
TMO,"HNZ, HNN, HNE",1628,5708,8.14,28.54,0.18564943969249725,0.07107353210449219,2.5,120.0,11500
VIE,"HNZ, HNN, HNE",1710,2156,8.55,10.78,0.011658777482807636,0.0015596933662891388,2.5,62.0,5700
CDCA,"HNZ, HNN, HNE",478,1608,2.39,8.04,0.23247571289539337,0.04205605387687683,2.5,140.005,13500
GUMA,"HNZ, HNN, HNE",11816,13988,59.08,69.94,0.2014513462781906,0.01507728360593319,2.5,312.39,30739
SENI,"HNZ, HNN, HNE",638,1296,3.19,6.48,0.2497403472661972,0.007822278887033463,2.5,140.005,13500
AQU,"HLZ, HLN, HLE",1876,2582,9.38,12.91,0.2934533655643463,0.19728651642799377,2.5,90.0,8500
LJU,"HGZ, HGN, HGE",1728,2764,8.64,13.82,0.08279590308666229,0.0053650448098778725,2.5,249.485,24448
