station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,original_duration_s
SANL,"HNZ, HNN, HNE",3286,4240,16.43,21.2,0.2624407708644867,0.012196505442261696,299.99
ANT,"HNZ, HNN, HNE",5954,6908,29.77,34.54,0.48325419425964355,0.24166299402713776,120.0
AQA,"HNZ, HNN, HNE",3236,3500,16.18,17.5,0.8218364715576172,0.6413693428039551,40.0
AQG,"HNZ, HNN, HNE",6208,6500,31.04,32.5,0.6040109992027283,0.5807176232337952,100.0
AQK,"HNZ, HNN, HNE",6112,6466,30.56,32.33,0.5849190950393677,0.304252564907074,100.0
AQV,"HNZ, HNN, HNE",6224,6516,31.12,32.58,0.5075905323028564,0.6384271383285522,100.005
ASS,"HNZ, HNN, HNE",4786,7736,23.93,38.68,0.47321784496307373,0.004067131783813238,100.0
AVL,"HNZ, HNN, HNE",500,506,2.5,2.53,0.018990391865372658,0.008955406956374645,74.0
AVZ,"HNZ, HNN, HNE",5904,6780,29.52,33.9,0.4575183391571045,0.0927436351776123,120.0
BBN,"HNZ, HNN, HNE",544,2910,2.72,14.55,0.0018607738893479109,0.009197046980261803,62.0
BDT,"HNZ, HNN, HNE",2804,9502,14.02,47.51,0.48132750391960144,0.025693731382489204,100.0
BNE,"HNZ, HNN, HNE",504,752,2.52,3.76,0.03423850238323212,0.007229480426758528,80.0
BOJ,"HNZ, HNN, HNE",4652,5608,23.26,28.04,0.25991952419281006,0.003390468657016754,150.0
CAN,"HNZ, HNN, HNE",500,5384,2.5,26.92,0.22872090339660645,0.0023358555044978857,95.0
CDS,"HNZ, HNN, HNE",5212,7800,26.06,39.0,0.4117671251296997,0.014626970514655113,120.0
CER,"HNZ, HNN, HNE",500,1688,2.5,8.44,0.102591373026371,0.02224302850663662,115.0
CHT,"HNZ, HNN, HNE",7580,9888,37.9,49.44,0.6854038834571838,0.026880115270614624,100.0
CLN,"HNZ, HNN, HNE",6038,7308,30.19,36.54,0.5552377104759216,0.16028465330600739,90.0
CMB,"HNZ, HNN, HNE",1058,1524,5.29,7.62,0.07398086786270142,0.032537564635276794,120.0
CMR,"HNZ, HNN, HNE",3750,7356,18.75,36.78,0.5642055869102478,0.0023483680561184883,100.0
CNM,"HNZ, HNN, HNE",1030,2876,5.15,14.38,0.28808510303497314,0.001219365862198174,120.0
CSO1,"HNZ, HNN, HNE",6980,8138,34.9,40.69,0.4731319844722748,0.05081060156226158,99.8
CSS,"HNZ, HNN, HNE",4874,8140,24.37,40.7,0.43396103382110596,0.006149019114673138,100.0
CTL,"HNZ, HNN, HNE",3148,4680,15.74,23.4,0.4631573259830475,0.011766171082854271,120.0
FMG,"HNZ, HNN, HNE",6000,6874,30.0,34.37,0.6776092648506165,0.1788799911737442,119.0
FOR,"HNZ, HNN, HNE",540,5514,2.7,27.57,0.19752860069274902,0.002511286409571767,115.0
GNL,"HNZ, HNN, HNE",502,1200,2.51,6.0,0.003667889628559351,0.005289072636514902,62.0
GSA,"HNZ, HNN, HNE",2992,3550,14.96,17.75,0.5530452728271484,0.5726889371871948,100.1
ISR,"HNZ, HNN, HNE",4472,7614,22.36,38.07,0.6461296081542969,0.013123497366905212,120.0
LSS,"HNZ, HNN, HNE",5636,6948,28.18,34.74,0.48389336466789246,0.15419037640094757,105.0
MMP,"HNZ, HNN, HNE",2604,4004,13.02,20.02,0.5614029765129089,0.005177138838917017,101.9
MNG,"HNZ, HNN, HNE",1474,2836,7.37,14.18,0.010977444238960743,0.02789899706840515,62.0
MNN,"HNZ, HNN, HNE",510,6158,2.55,30.79,0.5576987266540527,0.03145310655236244,85.0
MTR,"HNZ, HNN, HNE",2908,3640,14.54,18.2,0.5456913113594055,0.32899588346481323,100.0
NAP,"HNZ, HNN, HNE",540,1498,2.7,7.49,0.4237024188041687,0.0011692673433572054,95.0
ORC,"HNZ, HNN, HNE",2996,4698,14.98,23.49,0.6700925827026367,0.363206684589386,71.0
PDM,"HNZ, HNN, HNE",2482,2484,12.41,12.42,6.129943358246237e-05,0.018769819289445877,57.0
PIC,"HNZ, HNN, HNE",500,1584,2.5,7.92,0.0004455470771063119,0.0023023115936666727,68.0
PTF,"HNZ, HNN, HNE",1764,6626,8.82,33.13,0.3417903780937195,0.004177982918918133,120.0
RIC,"HNZ, HNN, HNE",506,2824,2.53,14.12,0.5827109813690186,0.004789998289197683,95.0
SBC,"HNZ, HNN, HNE",2160,3516,10.8,17.58,0.3480859398841858,0.027108363807201385,74.0
SCM,"HNZ, HNN, HNE",500,1770,2.5,8.85,0.008798078633844852,0.011742481961846352,75.0
SCP,"HNZ, HNN, HNE",866,5674,4.33,28.37,0.3678644001483917,0.06126854196190834,120.0
SDG,"HNZ, HNN, HNE",2164,2452,10.82,12.26,0.013421721756458282,0.02850612998008728,54.0
SNM,"HNZ, HNN, HNE",564,616,2.82,3.08,0.009151960723102093,0.0029723034240305424,64.0
SNS,"HNZ, HNN, HNE",500,2616,2.5,13.08,0.4076358675956726,0.00713805528357625,100.0
SPC,"HNZ, HNN, HNE",2708,4750,13.54,23.75,0.5326055288314819,0.02792258746922016,100.0
SPO,"HNZ, HNN, HNE",2278,4390,11.39,21.95,0.4933837354183197,0.0318249873816967,101.0
SSR,"HNZ, HNN, HNE",684,6482,3.42,32.41,0.35888242721557617,0.028027445077896118,117.0
STL,"HNZ, HNN, HNE",624,1738,3.12,8.69,0.00045154549297876656,0.00559653528034687,47.0
STN,"HNZ, HNN, HNE",500,502,2.5,2.51,0.1961975395679474,0.021894657984375954,75.0
SUL,"HNZ, HNN, HNE",2904,4560,14.52,22.8,0.4427264928817749,0.3453907370567322,104.0
TMO,"HNZ, HNN, HNE",2316,6662,11.58,33.31,0.3275245130062103,0.1433752030134201,120.0
VIE,"HNZ, HNN, HNE",1670,2154,8.35,10.77,0.011183680035173893,0.01544480212032795,62.0
VRP,"HNZ, HNN, HNE",506,1588,2.53,7.94,0.19207194447517395,0.0064603835344314575,86.0
CDCA,"HNZ, HNN, HNE",1510,6490,7.55,32.45,0.4494321644306183,0.0057917810045182705,140.005
GUMA,"HNZ, HNN, HNE",12518,58968,62.59,294.84,0.8506608605384827,0.07644513994455338,312.39
SENI,"HNZ, HNN, HNE",1332,6448,6.66,32.24,0.4808025658130646,0.0033738212659955025,140.005
AQU,"HLZ, HLN, HLE",3372,3622,16.86,18.11,0.7215087413787842,0.47105878591537476,90.0
BOJS,"HGZ, HGN, HGE",3064,4284,15.32,21.42,0.2470475435256958,0.00475948303937912,242.255
LJU,"HGZ, HGN, HGE",2268,11354,11.34,56.77,0.6770509481430054,0.006904938258230686,249.485
