station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
SANL,"HNZ, HNN, HNE",2286,3240,11.43,16.2,0.2624407708644867,0.012196505442261696,2.5,299.99,29499
ANT,"HNZ, HNN, HNE",4954,5908,24.77,29.54,0.48325419425964355,0.24166299402713776,2.5,120.0,11500
AQA,"HNZ, HNN, HNE",2236,2500,11.18,12.5,0.8218364715576172,0.6413693428039551,2.5,40.0,3500
AQG,"HNZ, HNN, HNE",5208,5500,26.04,27.5,0.6040109992027283,0.5807176232337952,2.5,100.0,9500
AQK,"HNZ, HNN, HNE",5112,5466,25.56,27.33,0.5849190950393677,0.304252564907074,2.5,100.0,9500
AQV,"HNZ, HNN, HNE",5224,5516,26.12,27.58,0.5075905323028564,0.6384271383285522,2.5,100.005,9500
ASS,"HNZ, HNN, HNE",3786,6736,18.93,33.68,0.47321784496307373,0.004067131783813238,2.5,100.0,9500
AVL,"HNZ, HNN, HNE",-500,-494,-2.5,-2.47,0.018990391865372658,0.008955406956374645,2.5,74.0,6899
AVZ,"HNZ, HNN, HNE",4904,5780,24.52,28.9,0.4575183391571045,0.0927436351776123,2.5,120.0,11500
BBN,"HNZ, HNN, HNE",-456,1910,-2.28,9.55,0.0018607738893479109,0.009197046980261803,2.5,62.0,5700
BDT,"HNZ, HNN, HNE",1804,8502,9.02,42.51,0.48132750391960144,0.025693731382489204,2.5,100.0,9500
BNE,"HNZ, HNN, HNE",-496,-248,-2.48,-1.24,0.03423850238323212,0.007229480426758528,2.5,80.0,7499
BOJ,"HNZ, HNN, HNE",3652,4608,18.26,23.04,0.25991952419281006,0.003390468657016754,2.5,150.0,14500
CAN,"HNZ, HNN, HNE",-500,4384,-2.5,21.92,0.22872090339660645,0.0023358555044978857,2.5,95.0,9000
CDS,"HNZ, HNN, HNE",4212,6800,21.06,34.0,0.4117671251296997,0.014626970514655113,2.5,120.0,11500
CER,"HNZ, HNN, HNE",-500,688,-2.5,3.44,0.102591373026371,0.02224302850663662,2.5,115.0,11000
CHT,"HNZ, HNN, HNE",6580,8888,32.9,44.44,0.6854038834571838,0.026880115270614624,2.5,100.0,9500
CLN,"HNZ, HNN, HNE",5038,6308,25.19,31.54,0.5552377104759216,0.16028465330600739,2.5,90.0,8500
CMB,"HNZ, HNN, HNE",58,524,0.29,2.62,0.07398086786270142,0.032537564635276794,2.5,120.0,11500
CMR,"HNZ, HNN, HNE",2750,6356,13.75,31.78,0.5642055869102478,0.0023483680561184883,2.5,100.0,9500
CNM,"HNZ, HNN, HNE",30,1876,0.15,9.38,0.28808510303497314,0.001219365862198174,2.5,120.0,11500
CSO1,"HNZ, HNN, HNE",5980,7138,29.9,35.69,0.4731319844722748,0.05081060156226158,2.5,99.8,9480
CSS,"HNZ, HNN, HNE",3874,7140,19.37,35.7,0.43396103382110596,0.006149019114673138,2.5,100.0,9500
CTL,"HNZ, HNN, HNE",2148,3680,10.74,18.4,0.4631573259830475,0.011766171082854271,2.5,120.0,11500
FMG,"HNZ, HNN, HNE",5000,5874,25.0,29.37,0.6776092648506165,0.1788799911737442,2.5,119.0,11400
FOR,"HNZ, HNN, HNE",-460,4514,-2.3,22.57,0.19752860069274902,0.002511286409571767,2.5,115.0,11000
GNL,"HNZ, HNN, HNE",-498,200,-2.49,1.0,0.003667889628559351,0.005289072636514902,2.5,62.0,5700
GSA,"HNZ, HNN, HNE",1992,2550,9.96,12.75,0.5530452728271484,0.5726889371871948,2.5,100.1,9510
ISR,"HNZ, HNN, HNE",3472,6614,17.36,33.07,0.6461296081542969,0.013123497366905212,2.5,120.0,11500
LSS,"HNZ, HNN, HNE",4636,5948,23.18,29.74,0.48389336466789246,0.15419037640094757,2.5,105.0,10000
MMP,"HNZ, HNN, HNE",1604,3004,8.02,15.02,0.5614029765129089,0.005177138838917017,2.5,101.9,9690
MNG,"HNZ, HNN, HNE",474,1836,2.37,9.18,0.010977444238960743,0.02789899706840515,2.5,62.0,5700
MNN,"HNZ, HNN, HNE",-490,5158,-2.45,25.79,0.5576987266540527,0.03145310655236244,2.5,85.0,8000
MTR,"HNZ, HNN, HNE",1908,2640,9.54,13.2,0.5456913113594055,0.32899588346481323,2.5,100.0,9500
NAP,"HNZ, HNN, HNE",-460,498,-2.3,2.49,0.4237024188041687,0.0011692673433572054,2.5,95.0,9000
ORC,"HNZ, HNN, HNE",1996,3698,9.98,18.49,0.6700925827026367,0.363206684589386,2.5,71.0,6599
PDM,"HNZ, HNN, HNE",1482,1484,7.41,7.42,6.129943358246237e-05,0.018769819289445877,2.5,57.0,5200
PIC,"HNZ, HNN, HNE",-500,584,-2.5,2.92,0.0004455470771063119,0.0023023115936666727,2.5,68.0,6299
PTF,"HNZ, HNN, HNE",764,5626,3.82,28.13,0.3417903780937195,0.004177982918918133,2.5,120.0,11500
RIC,"HNZ, HNN, HNE",-494,1824,-2.47,9.12,0.5827109813690186,0.004789998289197683,2.5,95.0,9000
SBC,"HNZ, HNN, HNE",1160,2516,5.8,12.58,0.3480859398841858,0.027108363807201385,2.5,74.0,6899
SCM,"HNZ, HNN, HNE",-500,770,-2.5,3.85,0.008798078633844852,0.011742481961846352,2.5,75.0,6999
SCP,"HNZ, HNN, HNE",-134,4674,-0.67,23.37,0.3678644001483917,0.06126854196190834,2.5,120.0,11500
SDG,"HNZ, HNN, HNE",1164,1452,5.82,7.26,0.013421721756458282,0.02850612998008728,2.5,54.0,4900
SNM,"HNZ, HNN, HNE",-436,-384,-2.18,-1.92,0.009151960723102093,0.0029723034240305424,2.5,64.0,5900
SNS,"HNZ, HNN, HNE",-500,1616,-2.5,8.08,0.4076358675956726,0.00713805528357625,2.5,100.0,9500
SPC,"HNZ, HNN, HNE",1708,3750,8.54,18.75,0.5326055288314819,0.02792258746922016,2.5,100.0,9500
SPO,"HNZ, HNN, HNE",1278,3390,6.39,16.95,0.4933837354183197,0.0318249873816967,2.5,101.0,9600
SSR,"HNZ, HNN, HNE",-316,5482,-1.58,27.41,0.35888242721557617,0.028027445077896118,2.5,117.0,11200
STL,"HNZ, HNN, HNE",-376,738,-1.88,3.69,0.00045154549297876656,0.00559653528034687,2.5,47.0,4200
STN,"HNZ, HNN, HNE",-500,-498,-2.5,-2.49,0.1961975395679474,0.021894657984375954,2.5,75.0,6999
SUL,"HNZ, HNN, HNE",1904,3560,9.52,17.8,0.4427264928817749,0.3453907370567322,2.5,104.0,9900
TMO,"HNZ, HNN, HNE",1316,5662,6.58,28.31,0.3275245130062103,0.1433752030134201,2.5,120.0,11500
VIE,"HNZ, HNN, HNE",670,1154,3.35,5.77,0.011183680035173893,0.01544480212032795,2.5,62.0,5700
VRP,"HNZ, HNN, HNE",-494,588,-2.47,2.94,0.19207194447517395,0.0064603835344314575,2.5,86.0,8100
CDCA,"HNZ, HNN, HNE",510,5490,2.55,27.45,0.4494321644306183,0.0057917810045182705,2.5,140.005,13500
GUMA,"HNZ, HNN, HNE",11518,57968,57.59,289.84,0.8506608605384827,0.07644513994455338,2.5,312.39,30739
SENI,"HNZ, HNN, HNE",332,5448,1.66,27.24,0.4808025658130646,0.0033738212659955025,2.5,140.005,13500
AQU,"HLZ, HLN, HLE",2372,2622,11.86,13.11,0.7215087413787842,0.47105878591537476,2.5,90.0,8500
BOJS,"HGZ, HGN, HGE",2064,3284,10.32,16.42,0.2470475435256958,0.00475948303937912,2.5,242.255,23725
LJU,"HGZ, HGN, HGE",1268,10354,6.34,51.77,0.6770509481430054,0.006904938258230686,2.5,249.485,24448
