station_code,components,t_p_samples,t_s_samples,t_p_seconds,t_s_seconds,p_probability_max,s_probability_max,time_offset_seconds,original_duration_s,annotation_npts
TTS,"HNZ, HNN, HNE",398,1208,1.99,6.04,0.580747127532959,0.1007339134812355,2.5,159.99,15498
ANT,"HNZ, HNN, HNE",4954,5908,24.77,29.54,0.48325419425964355,0.24166299402713776,2.5,120.0,11500
AQA,"HNZ, HNN, HNE",2236,2500,11.18,12.5,0.8218364715576172,0.6413693428039551,2.5,40.0,3500
AQG,"HNZ, HNN, HNE",5208,5500,26.04,27.5,0.6040109992027283,0.5807176232337952,2.5,100.0,9500
AQK,"HNZ, HNN, HNE",5112,5466,25.56,27.33,0.5849190950393677,0.304252564907074,2.5,100.0,9500
AQV,"HNZ, HNN, HNE",5224,5516,26.12,27.58,0.5075905323028564,0.6384271383285522,2.5,100.005,9500
AVZ,"HNZ, HNN, HNE",4904,5780,24.52,28.9,0.4575183391571045,0.0927436351776123,2.5,120.0,11500
CLN,"HNZ, HNN, HNE",5038,6308,25.19,31.54,0.5552377104759216,0.16028465330600739,2.5,90.0,8500
FMG,"HNZ, HNN, HNE",5000,5874,25.0,29.37,0.6776092648506165,0.1788799911737442,2.5,119.0,11400
GSA,"HNZ, HNN, HNE",1992,2550,9.96,12.75,0.5530452728271484,0.5726889371871948,2.5,100.1,9510
LSS,"HNZ, HNN, HNE",4636,5948,23.18,29.74,0.48389336466789246,0.15419037640094757,2.5,105.0,10000
MTR,"HNZ, HNN, HNE",1908,2640,9.54,13.2,0.5456913113594055,0.32899588346481323,2.5,100.0,9500
ORC,"HNZ, HNN, HNE",1996,3698,9.98,18.49,0.6700925827026367,0.363206684589386,2.5,71.0,6599
SUL,"HNZ, HNN, HNE",1904,3560,9.52,17.8,0.4427264928817749,0.3453907370567322,2.5,104.0,9900
TMO,"HNZ, HNN, HNE",1316,5662,6.58,28.31,0.3275245130062103,0.1433752030134201,2.5,120.0,11500
GUMA,"HNZ, HNN, HNE",11518,57968,57.59,289.84,0.8506608605384827,0.07644513994455338,2.5,312.39,30739
AQU,"HLZ, HLN, HLE",2372,2622,11.86,13.11,0.7215087413787842,0.47105878591537476,2.5,90.0,8500
